Cell_Num	X	Y	Genenames	CellGeneCount	ClassName	Prob
3105	6437.293447293448	1518.806267806268	['3110035E14Rik', 'Arpp21', 'Cadps2', 'Cck', 'Col25a1', 'Cplx2', 'Cryab', 'Crym', 'Enc1', 'Htr3a', 'Kctd12', 'Lamp5', 'Neurod6', 'Nrn1', 'Pde1a', 'Plp1', 'Rgs12', 'Rgs4', 'Snca', 'Wfs1']	[0.0813930424141825, 0.1568896835943853, 0.016207033647640774, 0.11560358488849105, 0.004051311006861183, 0.019784773108393317, 0.022048732854167974, 0.010445175199398155, 0.9186075375357801, 0.012021366295880432, 0.001325464639055629, 0.22330328582444905, 6.796946344945244, 0.9853598159265292, 0.16954233077905725, 0.0013672738331645048, 0.030842887646955565, 2.0734519854696454, 0.9749327588999319, 2.9301739715506527]	['PC.CA1.1', 'PC.CA1.2', 'PC.CA1.3']	[0.020201249974213346, 0.5237992255317856, 0.45582999856079626]
3106	6447.331087584215	2296.1424446583255	['Cplx2', 'Prkca']	[0.0018664175520599264, 0.0014522260632155192]	['Endo', 'Eryth.1', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.0013088771938921649, 0.008036542214868934, 0.004632940378304464, 0.006818188217190755, 0.0039164990075535805, 0.9729057247756903]
3107	6451.778265642151	1500.23710208562	['3110035E14Rik', 'Arpp21', 'Cadps2', 'Cck', 'Col25a1', 'Cplx2', 'Cryab', 'Crym', 'Enc1', 'Enpp2', 'Fam19a1', 'Kctd12', 'Neurod6', 'Nrsn1', 'Pcp4', 'Pde1a', 'Prkca', 'Rgs12', 'Rgs4', 'Snca', 'Trp53i11', 'Wfs1']	[1.93795355965845, 0.92658553685349, 0.001444511413112884, 0.8727252681007364, 0.0017541634655300143, 1.6399524573104596, 1.9190105721388628, 1.032826319858317, 0.5403303112972581, 1.9853976199931562, 0.02413174806749001, 0.9713068331960951, 0.016010874049491208, 0.012143201832627355, 0.8284148672730193, 0.00133862773420042, 0.02125463212270287, 0.007318985808677746, 0.5512181213845317, 0.0034306711250767664, 0.024479274755613574, 0.22200980527962516]	['Astro.1', 'Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.4', 'Oligo.5', 'PC.CA1.1', 'PC.CA1.2', 'PC.CA1.3', 'PC.Other1', 'PC.Other2']	[0.001289294707035366, 0.0011633981105673619, 0.008128851568238626, 0.0023078905057718367, 0.006134494176787595, 0.06431464426984877, 0.447471816950438, 0.26188137999780703, 0.0038701737556977203, 0.18825537561261532, 0.01232127826347525]
3108	6457.882315521629	1543.8657760814249	['3110035E14Rik', 'Adgrl2', 'Arpp21', 'Bcl11b', 'Cadps2', 'Cck', 'Col25a1', 'Cplx2', 'Crym', 'Enc1', 'Fam19a1', 'Neurod6', 'Nrn1', 'Pcp4', 'Pde1a', 'Plp1', 'Prkca', 'Rgs12', 'Rgs4', 'Serpini1', 'Snca', 'Vip', 'Wfs1', 'Zcchc12']	[3.9116633929730167, 0.016716308115595168, 1.000087765606995, 0.9427707117072401, 0.9978137129518859, 0.001710484084903098, 0.005141480495252565, 0.024115990105086395, 0.0077809290770925596, 1.0309008924627348, 0.9457478070113652, 7.003781934179512, 0.007001772875395679, 0.04949243220070469, 2.024999036506526, 0.020509907737564816, 0.9347724812653755, 0.7199124733678924, 4.845479633956252, 0.007113039843161575, 0.06876160972653238, 0.0019123638272146904, 0.0161585148102615, 0.7141596143621661]	['PC.CA1.2', 'PC.CA1.3', 'PC.Other1', 'PC.Other2']	[0.7671880031640133, 0.2012429204456892, 0.01756108035520278, 0.013336549488641674]
3109	6454.815972222223	1405.0506944444444	['3110035E14Rik', 'Adgrl2', 'Aldoc', 'Cck', 'Cplx2', 'Cryab', 'Enc1', 'Kctd12', 'Neurod6', 'Nrn1', 'Pde1a', 'Prkca', 'Rgs4', 'Satb1', 'Scg2', 'Serpini1', 'Wfs1']	[7.461214907413414, 0.9901182665256084, 0.7917116608715371, 1.9714739027513462, 0.5299127475685266, 0.0027245106130007407, 4.1071322457257775, 0.004082890525884139, 1.8063688470388186, 1.1411643662453081, 1.9569175289091136, 1.8257635539819739, 1.774467279090823, 0.08063073707630343, 0.9616363311250108, 0.4287066952203186, 0.49528156764608994]	['PC.CA1.2', 'PC.CA1.3', 'PC.Other1', 'PC.Other2']	[0.2732869658695999, 0.7022452021972604, 0.008975226372958086, 0.015387080863260773]
3110	6458.011475409836	2095.955737704918	['Aldoc', 'Cxcl14', 'Neurod6']	[0.06172375690958612, 0.9456162684770163, 0.9562333782599052]	['Astro.1', 'Astro.2', 'Astro.4', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.0034977789698189244, 0.004947307832843476, 0.0016304674495399862, 0.004494755573438636, 0.0011995210986460768, 0.007746586367867744, 0.0019188868966839802, 0.0044531623858191476, 0.006867002711858955, 0.0042311687442330975, 0.9580571751604666]
3111	6465.719846841098	528.5149968091895	['Plp1', 'Scg2', 'Sst']	[0.022285349002299976, 0.0014060831093826499, 0.012719367141800256]	['Endo', 'Eryth.1', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.0011629981110986896, 0.00826609359986043, 0.004479799275585274, 0.006718257457736573, 0.003727510403408947, 0.9735835446826338]
3112	6463.530411449016	1240.0518783542038	['Rasgrf2']	[0.39405711998737414]	['Endo', 'Eryth.1', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.0012582351066247127, 0.007943450542732322, 0.004541750511710838, 0.006723678014455517, 0.0038302655530042433, 0.9734044643122846]
3113	6465.054036458333	1134.6653645833333	['Adgrl2', 'Cadps2', 'Cck', 'Cplx2', 'Enc1', 'Gda', 'Kctd12', 'Neurod6', 'Nrsn1', 'Prkca', 'Rgs4', 'Snca']	[0.9544809185681307, 0.0010047122025365262, 0.9975780896786774, 0.002192918605520761, 3.0880727018385947, 0.9791043788429972, 0.9653426969287588, 1.4884833410407363, 0.9580381939754073, 0.9936276465209414, 3.9861480976296244, 0.9940862900361191]	['PC.CA1.1', 'PC.CA1.2', 'PC.CA1.3', 'PC.Other1', 'PC.Other2']	[0.08596129687929815, 0.8215332415193622, 0.044178838165355824, 0.045482534682233115, 0.0023420616463564635]
3114	6463.215705765408	1057.1471172962226	['Aldoc', 'Id2', 'Pvalb']	[0.012085573899577196, 1.9835539761183332, 1.8775781077095406]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.010721340764381653, 0.01075218927449367, 0.009977586825889572, 0.007190504725876323, 0.008662001914102284, 0.016227621679837243, 0.006796543935412176, 0.001749607502584779, 0.06355175588997727, 0.0318384839020168, 0.008418574435852555, 0.8224436385552977]
