Cell_Num	X	Y	Genenames	CellGeneCount	ClassName	Prob
26	70.92188468691879	4852.999380037198	['Cplx2', 'Cryab', 'Enpp2', 'Plp1', 'Sst']	[0.053227461562375275, 3.011099242938821, 3.995262095653383, 12.599094733458207, 0.9905823834574596]	['Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.3187738636302438, 0.09085327307232031, 0.13436891235183512, 0.40070423333640826, 0.05472700225279943]
27	76.59490084985836	4055.169162282477	['3110035E14Rik', 'Id2', 'Plp1', 'Pvalb']	[0.0043169671739189, 1.2486019147154008, 0.02368112681465088, 1.8214512267553744]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Endo', 'Eryth.1', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.0022083488339719563, 0.0029201786603197315, 0.001583743669197206, 0.0012104274524446178, 0.002354847754155081, 0.009115148792205055, 0.004671235539128898, 0.0206829481513475, 0.014681624621607433, 0.007506342259413622, 0.9317584802629564]
28	66.10372340425532	5011.031914893617	['Cryab', 'Enpp2', 'Kctd12', 'Npy', 'Plp1']	[5.849518673271308, 1.081952676220123, 0.0023090280222746915, 0.9852066623125788, 12.930954229874303]	['Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.10582423456601121, 0.0657960852513624, 0.15698265987847346, 0.5116793721764379, 0.15951971408826698]
29	61.25526315789474	4685.739473684211	['Cryab', 'Enpp2', 'Plp1']	[0.22834171110580267, 0.9447818619734144, 0.9709834750351227]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Oligo.5', 'Vsmc', 'Zero']	[0.003424876219367269, 0.002385181595157319, 0.0011528706841701882, 0.0016658183211887972, 0.005842375551340366, 0.012926558201464254, 0.021254976915203384, 0.014279125141081393, 0.015064077558696036, 0.015144939849931077, 0.001598470094117559, 0.016096074703018343, 0.8847320947171338]
30	70.45362134688692	4115.264294790343	['Enpp2', 'Plp1']	[0.9969584570591965, 9.052007902853065]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.4757696072389403, 0.05161681852687237, 0.003964212601003073, 0.015148015435225856, 0.1701898638521731, 0.28324033509751856]
31	76.44077134986226	4683.170798898072	['Cryab', 'Enpp2', 'Plp1']	[0.007752784623430699, 0.04907114137660703, 0.030405137705809358]	['Astro.1', 'Astro.2', 'Astro.5', 'Endo', 'Eryth.1', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.001602777219261715, 0.0015035297038270047, 0.0020836229677284987, 0.005366407366592361, 0.0071689015286021856, 0.00835244658093236, 0.009700337962656598, 0.00794100079078407, 0.9515582998596854]
32	72.75579322638146	5070.295900178253	['Cryab', 'Enpp2', 'Htr3a', 'Kctd12', 'Npy', 'Pde1a', 'Plp1']	[1.0527444128852976, 0.03602665719685991, 0.9067416294046897, 0.9947385339246069, 0.01872248159968569, 0.9940938934616745, 6.5759634538692175]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.5250142552411955, 0.02375521408559871, 0.002417895935243311, 0.011320469535779726, 0.13471619216420788, 0.3023795463067317]
33	74.94434782608695	4160.466086956521	['Plp1', 'Sst']	[10.882497333254166, 0.7856275549220416]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.48200184447609257, 0.03227411206187504, 0.0022960666124117587, 0.011468364770936225, 0.13785905133529294, 0.33409495595499755]
34	90.45290199809705	5007.1560418648905	['Cryab', 'Enpp2', 'Kctd12', 'Npy', 'Pcp4', 'Plp1']	[3.7815538046312795, 0.911827273818843, 0.9887157094161695, 1.0006104179606319, 0.9925286749381055, 9.815080861972902]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.013082194075573976, 0.094206250144897, 0.026178295191450193, 0.07200758942186858, 0.4813749605100888, 0.31315069928366374]
35	87.51404494382022	5094.3707865168535	['Cryab', 'Enpp2', 'Htr3a', 'Npy', 'Plp1']	[0.9361247052094636, 4.964473605629491, 0.062256573441924576, 1.1071405359955633, 5.356945208957918]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.0094616193214255, 0.4505709401059736, 0.09275144663839915, 0.08590303230823443, 0.29308747790879575, 0.06820679512976438]
